Edward Abbey		29-Jan	Indiana, PA	14-Mar	Oracle, AZ	 Complications of Surgery 	 Buried, Cabeza Prieta Desert, Pima County, AZ	 Male			 Straight	 Author		 United States	Desert Solitaire	Jonathan Troy|The Brave Cowboy|Fire on the Mountain|Desert Solitaire|Black Sun|The Monkey Wrench Gang|The Journey Home|Abbey's Road|Good News|Down the River|The Fool's Progress|One Life at a Time|Hayduke Lives!
Lynn Abbey	 Marilyn Lorraine Abbey	1948	Peekskill, NY					 Female				 Author	http://www.lynnabbey.com/	 United States	Thieves World	Thieves World: The Face of Chaos|Thieves World: Storm Season|Out of Time|Behind Time|Taking Time|Catwoman: Tiger Hunt|Forge of Virtue|Temper of Wisdom|Unicorn and Dragon|Conquest|Guardians|Daughter of the Bright Moon|The Black Flame
Edwin A. Abbott	 Edwin Abbott Abbott	20-Dec	 Marylebone, Middlesex, England	12-Oct	London, England	Influenza	 Buried, 	 Male	Anglican/Episcopalian		 Straight	 Author		 England	Flatland	Shakespearean Grammar|English Lessons for English People|How to Write Clearly|Bible Lessons|Bacon and Essex|Through Nature to Christ|Philochristus|Onesimus: Memoirs of a Disciple of Paul|Common Tradition of the Synoptic Gospels|Flatland: A Romance of Many Dimensions|An Account of the Life and Works of Francis Bacon|Spirit on the Water|Johannine Vocabulary|Johannine Grammar|Silanus the Christian
Jacob Abbott		14-Nov	Hallowell, ME	31-Oct	Farmington, ME	 unspecified	 Buried, Mount Auburn Cemetery, Auburn, ME	 Male			 Straight	 Author		 United States	Franconia Stories	The Young Christian; or, A Familiar Illustration of the Principles of Christian Duty|The Little Scholar Learning to Talk: A Picture Book for Rollo|Young Christian: A Memorial Edition
Walter Abish		24-Dec	Vienna, Austria					 Male	Jewish		 Straight	 Author		 United States	Alphabetical Africa	Duel Site|Alphabetical Africa|Minds Meet|In the Future Perfect|How German Is It|99: The New Meaning|Eclipse Fever|Double Vision: A Self-Portrait
M. H. Abrams	 Meyer Howard Abrams	23-Jul	Long Branch, NJ	21-Apr	Ithaca, NY	 unspecified		 Male	Jewish		 Straight	 Author		 United States	The Mirror and the Lamp	The Milk of Paradise: The Effect of Opium Visions on the Works of De Quincey, Crabbe, Francis Thompson, and Coleridge|The Mirror and the Lamp: Romantic Theory and the Critical Tradition|Natural Supernaturalism: Tradition and Revolution in Romantic Literature|The Correspondent Breeze: Essays on English Romanticism|The Fourth Dimension of a Poem: And Other Essays
André Aciman		2-Jan	Alexandria, Egypt					 Male	Jewish			 Author		 United States	Out of Egypt	Out of Egypt|Papers: Essays on Exile and Memory|Call Me By Your Name
Kathy Acker	 Karen Lehmann	18-Apr	New York City	1-Dec	Tijuana, Mexico	Cancer - Breast		 Female			Bisexual	 Author		 United States	Blood and Guts in High School	The Childlike Life of the Black Tarantula|I Dreamt I Was a Nymphomaniac: Imagining|Hello, I'm Erica Jong|Great Expectations|Blood and Guts in High School|Don Quixote: Which Was a Dream|Literal Madness|Empire of the Senseless|Hannibal Lecter: My Father|My Mother: Demonology|Pussy, King of the Pirates
Diane Ackerman	 Diane Fink	7-Oct	Waukegan, IL					 Female			 Straight	 Author, 	http://www.dianeackerman.com/	 United States	A Natural History of the Senses	The Planets|Wife of Light|Twilight of the Tenderfoot|Lady Faustus|On Extended Wings|A Natural History of the Senses|Jaguar of Sweet Laughter: New and Selected Poems|The Moon by Whale Light, and Other Adventures Among Bats and Crocodilains, Penguins and Whales|A Natural History of Love|The Rarest of the Rare|A Slender Thread|I Praise My Destroyer|Deep Play|Origami Bridges|An Alchemy of Mind: The Marvel and Mystery of the Brain|Reverse Thunder
Forrest J. Ackerman	 Forrest James Ackerman	24-Nov	Los Angeles, CA	4-Dec	Los Angeles, CA	 Heart Failure	 Buried, 	 Male	Atheist		 Straight	 Author, Editor		 United States	 Mr. Science Fiction	The Best from Famous Monsters of Filmland|Son of Famous Monsters of Filmland|Strike Back!|Science Fiction Worlds of Forrest J. Ackerman & Friends|The Frankenscience Monster|Best Science Fiction for 1973|Forrest J. Ackerman Presents Mr. Monster's Movie Gold|A Reference Guide to American Science Fiction Films|Gosh! Wow!: Sense of wonder Science Fiction|Lon of 1000 Faces|Forrest J. Ackerman's Fantastic Movie Memories|Forrest J. Ackerman: Famous Monster of Filmland|New Eves: Science Fiction about Extraordinary Women|Reel Future|365 Science Fiction Short Short Stories|I, Vampire|Forrest J. Ackerman's World of Science Fiction|Ackermanthology!: 65 Astonishing, Rediscovered Sci-Fi Shorts|Film Future: Twenty Classic Science Fiction Stories which Morphed into Movies|Science-Fiction Classics: The Stories That Morphed into Movies|Rainbow Fantasia: 35 Spectrumatic Tales of Wonder|Sci-Fi Womanthology|Martianthology|Dr. Acula's Thrilling Tales of the Uncanny
Peter Ackroyd		5-Oct	London, England					 Male				 Author		 England	The Great Fire of London	London Lickpenny|Notes for a New Culture: An Essay on Modernism|Dressing Up: Transvestism and Drag: The History of an Obsession|Ezra Pound and His World|The Great Fire of London|The Last Testament of Oscar Wilde|T. S. Eliot: A Life|Hawksmoor|The Diversions of Purley|Chatterton|Dickens' London: An Imaginative Vision|The Life of Thomas More|First Light|Dickens|An Introduction to Dickens|English Music|The House of Doctor Dee|The Trial of Elizabeth Cree: A Novel of the Limehouse Murders|Blake|Milton in America|The Plato Papers|London: The Biography|Albion: The Origins of the English Imagination|The Clerkenwell Tales|The Lambs of London|Shakespeare: The Biography
Louis Adamic	 Alojzij Adamic	23-Mar	 Praproe Castle, Blato, Slovenia	4-Sep	 Riegelsville, NJ	Suicide	 Buried, Bloomsbury Cemetery, Bloomsbury, NJ	 Male			 Straight	 Author		 United States	Laughing in the Jungle	Laughing in the Jungle|The Native's Return: An American Immigrant Visits Yugoslavia and Discovers His Old Country|Grandsons|Cradle of Life|The House in Antigua|My America|My Native Land|Dinner at the White House|The Eagle and the Root
Douglas Adams	 Douglas Noel Adams	11-Mar	Cambridge, England	11-May	Santa Barbara, CA	 Heart Failure	 Buried, 	 Male	Atheist		 Straight	 Author		 England	Hitchhiker's Guide to the Galaxy	The Hitchhiker's Guide to the Galaxy|The Restaurant at the End of the Universe|Life, the Universe and Everything|So Long, and Thanks For All the Fish|Mostly Harmless|Dirk Gently's Holistic Detective Agency|The Long Dark Teatime of the Soul|The Salmon of Doubt|The Meaning of Liff
James Truslow Adams		18-Oct	Brooklyn, NY	18-May	 Southport, CT	 unspecified	 Buried, 	 Male				 Author		 United States	The Epic of America	The Founding of New England|Revolutionary New England, 1691–1776|New England in the Republic, 1776–1850|Provincial Society, 1690–1763|The Adams Family|The Epic of America|Henry Adams|America's Tragedy
Richard Adams	 Richard George Adams	9-May	 Newbury, Berkshire, England					 Male			 Straight	 Author		 England	Watership Down	Watership Down|Plague Dogs
William Taylor Adams		30-Jul	 Medway, MA	27-Mar	Boston, MA	 unspecified	 Buried, Cedar Grove Cemetery, Dorchester, MA	 Male				 Author		 United States	Oliver Optic's Magazine	
Joseph Addison		1-May	 Milston, Wiltshire, England	17-Jun	London, England	 unspecified	 Buried, 	 Male				 Author, 		 England	The Spectator	A Poem to his Majesty|A Letter from Italy|The Campaign|Remarks on Several Parts of Italy|Cato|The Drummer
